Name,Date,Open,High,Low,Close,Period,,
Gram18Ayar,7/26/2017,1148330,1156520,1147400,1154790,D,,
Gram18Ayar,7/29/2017,1165300,1176380,1165300,1175800,D,,
Gram18Ayar,7/30/2017,1176950,1184690,1176840,1179380,D,,
Gram18Ayar,7/31/2017,1179260,1179260,1171880,1176030,D,,
Gram18Ayar,8/1/2017,1177070,1180300,1174990,1179610,D,,
Gram18Ayar,8/2/2017,1179030,1181800,1176490,1181340,D,,
Gram18Ayar,8/6/2017,1178220,1178800,1177070,1178340,D,,
Gram18Ayar,8/7/2017,1178450,1179610,1172910,1174070,D,,
Gram18Ayar,8/8/2017,1172220,1173490,1171410,1173030,D,,
Gram18Ayar,8/9/2017,1171880,1177420,1171820,1175220,D,,
Gram18Ayar,8/12/2017,1175920,1179720,1175920,1178570,D,,
Gram18Ayar,8/13/2017,1194730,1196120,1190000,1190460,D,,
Gram18Ayar,8/14/2017,1190920,1192310,1189650,1191730,D,,
Gram18Ayar,8/15/2017,1191500,1191500,1180070,1182730,D,,
Gram18Ayar,8/16/2017,1179490,1179960,1175800,1178110,D,,
Gram18Ayar,8/19/2017,1177650,1178340,1175800,1178340,D,,
Gram18Ayar,8/20/2017,1185030,1185270,1181570,1182030,D,,
Gram18Ayar,8/21/2017,1182260,1185960,1182260,1185730,D,,
Gram18Ayar,8/22/2017,1185960,1189420,1184800,1186880,D,,
Gram18Ayar,8/23/2017,1186650,1192420,1186650,1191500,D,,
Gram18Ayar,8/26/2017,1196580,1207660,1196580,1206740,D,,
Gram18Ayar,8/27/2017,1208120,1214820,1208120,1212280,D,,
Gram18Ayar,8/28/2017,1212740,1219430,1209510,1218510,D,,
Gram18Ayar,8/29/2017,1220590,1232820,1220590,1223820,D,,
Gram18Ayar,8/30/2017,1221970,1226820,1218280,1225440,D,,
Gram18Ayar,9/2/2017,1255450,1261220,1250600,1254520,D,,
Gram18Ayar,9/3/2017,1255680,1266070,1255680,1264910,D,,
Gram18Ayar,9/4/2017,1267220,1268610,1256140,1256830,D,,
Gram18Ayar,9/5/2017,1255450,1258220,1247370,1254990,D,,
Gram18Ayar,9/6/2017,1256140,1262370,1253830,1255220,D,,
Gram18Ayar,9/11/2017,1261220,1261220,1253600,1255450,D,,
Gram18Ayar,9/12/2017,1251990,1256830,1251990,1255450,D,,
Gram18Ayar,9/13/2017,1259830,1261220,1248750,1248980,D,,
Gram18Ayar,9/16/2017,1242290,1244370,1236290,1238130,D,,
Gram18Ayar,9/17/2017,1237670,1239290,1229820,1231440,D,,
Gram18Ayar,9/18/2017,1229590,1230280,1217120,1219430,D,,
Gram18Ayar,9/19/2017,1222200,1223820,1209970,1212510,D,,
Gram18Ayar,9/20/2017,1217820,1224280,1214120,1218510,D,,
Gram18Ayar,9/23/2017,1197270,1205580,1197270,1205350,D,,
Gram18Ayar,9/24/2017,1205580,1216430,1204660,1215970,D,,
Gram18Ayar,9/25/2017,1214120,1228900,1209740,1227510,D,,
Gram18Ayar,9/26/2017,1230510,1230750,1212510,1218740,D,,
Gram18Ayar,9/27/2017,1212970,1212970,1206740,1210890,D,,
Gram18Ayar,10/2/2017,1203270,1206970,1203270,1206970,D,,
Gram18Ayar,10/3/2017,1205580,1211120,1204200,1207430,D,,
Gram18Ayar,10/4/2017,1208350,1219900,1208350,1215970,D,,
Gram18Ayar,10/7/2017,1214120,1228210,1213200,1227740,D,,
Gram18Ayar,10/8/2017,1227280,1240670,1223590,1240440,D,,
Gram18Ayar,10/9/2017,1237670,1258440,1236510,1255440,D,,
Gram18Ayar,10/10/2017,1253600,1256140,1242050,1246440,D,,
